strain	sample_id	site_id	gradient	date	PCR	genome	virus
E72_3	E0072	Esmeraldas	urban	2014-06-05	NA	NA	ecoli
E76_1	E0076	Esmeraldas	urban	2014-06-10	EAEC	EAEC	ecoli
E84	E0084	Esmeraldas	urban	2014-06-11	NA	NA	ecoli
E88_3	E0088	Esmeraldas	urban	2014-06-16	DAEC	DAEC	ecoli
E88_4	E0088	Esmeraldas	urban	2014-06-16	EAEC	EAEC	ecoli
E89_4	E0089	Esmeraldas	urban	2014-06-17	EAEC	EAEC	ecoli
E92_5	E0092	Esmeraldas	urban	2014-06-13	DAEC	DAEC	ecoli
E99_3	E0099	Esmeraldas	urban	2014-06-17	NA	NA	ecoli
Q106	Q0106	Quito	urban	2014-09-04	ETEC	ETEC	ecoli
Q108	Q0108	Quito	urban	2014-09-08	EIEC	EIEC	ecoli
Q128	Q0128	Quito	urban	2014-09-08	EIEC	EIEC	ecoli
Q132	Q0132	Quito	urban	2014-09-03	ETEC	EAEC/ETEC	ecoli
Q142	Q0142	Quito	urban	2014-09-03	DAEC	DAEC	ecoli
Q145	Q0145	Quito	urban	2014-09-04	DAEC	DAEC	ecoli
Q147	Q0147	Quito	urban	2014-09-03	DAEC	DAEC	ecoli
Q16_1	Q0016	Quito	urban	2014-05-09	ETEC	EAEC/ETEC	ecoli
Q186	Q0186	Quito	urban	2014-09-10	EAEC	EAEC	ecoli
Q196	Q0196	Quito	urban	2014-09-11	DAEC	DAEC	ecoli
Q199	Q0199	Quito	urban	2014-09-12	DAEC	DAEC	ecoli
Q212	Q0212	Quito	urban	2014-09-11	EAEC	EAEC	ecoli
Q21_2	Q0021	Quito	urban	2014-05-11	DAEC	DAEC	ecoli
Q223	Q0223	Quito	urban	2014-09-15	DAEC	DAEC	ecoli
Q233	Q0233	Quito	urban	2014-09-16	aEPEC	aEPEC	ecoli
Q23_1	Q0023	Quito	urban	2014-05-11	DAEC	DAEC	ecoli
Q240	Q0240	Quito	urban	2014-09-17	DAEC	DAEC	ecoli
Q243	Q0243	Quito	urban	2014-09-16	DAEC	DAEC	ecoli
Q245_2	Q0245	Quito	urban	2014-09-18	DAEC	DAEC	ecoli
Q249	Q0249	Quito	urban	2014-09-18	aEPEC	aEPEC	ecoli
Q250_1	Q0250	Quito	urban	2014-09-17	EAEC	EAEC	ecoli
Q253	Q0253	Quito	urban	2014-09-18	aEPEC	aEPEC	ecoli
Q270	Q0270	Quito	urban	2014-09-18	NA	NA	ecoli
Q275	Q0275	Quito	urban	2014-09-19	aEPEC	aEPEC	ecoli
Q279_1	Q0279	Quito	urban	2014-09-18	EIEC	EIEC	ecoli
